"","id","location","year","month","day","fhours","Gear","catch","nao","amo","oisst","BATHY.DEPTH","lon","lat","Abundance"
"8164","2020-065501","us",2020,7,9,5,"RR",0,-0.595101774,0.341,20.3699989318848,52,-70.9166666666667,40.9166666666667,NA
"8165","2020-065701","us",2020,7,6,6,"RR",1,-0.183214754,0.341,19.8199996948242,59,-70.9166666666667,40.75,NA
"8166","2020-069001","us",2020,7,18,2,"RR",1,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8167","2020-069002","us",2020,7,18,6,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8168","2020-069004","us",2020,7,18,6,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8169","2020-069005","us",2020,7,18,7,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8170","2020-069006","us",2020,7,18,5,"RR",0,-0.479916364,0.341,19.3599987030029,27,-70.25,42.1666666666667,NA
"8171","2020-069007","us",2020,7,18,3,"RR",0,-0.479916364,0.341,20.7700004577637,30,-70.3,41.9333333333333,NA
"8172","2020-069008","us",2020,7,18,4,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8173","2020-069009","us",2020,7,18,8,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8174","2020-069010","us",2020,7,18,2,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8175","2020-069012","us",2020,7,18,3,"RR",0,-0.479916364,0.341,19.5499992370605,28,-70.2833333333333,42.2666666666667,NA
"8176","2020-069301","us",2020,7,19,9,"RR",0,-0.531816065,0.341,20.2799987792969,81,-70.5666666666667,42.8833333333333,NA
"8177","2020-069801","us",2020,7,19,7,"RR",1,-0.531816065,0.341,19.7600002288818,28,-70.2833333333333,42.2666666666667,NA
"8178","2020-069802","us",2020,7,19,8,"RR",0,-0.531816065,0.341,19.7600002288818,28,-70.2833333333333,42.2666666666667,NA
"8179","2020-070401","us",2020,7,17,7,"RR",2,-0.443135738,0.341,19.0900001525879,28,-70.2833333333333,42.2666666666667,NA
"8180","2020-071101","us",2020,7,16,4,"RR",1,-0.518282473,0.341,18.5499992370605,27,-70.25,42.1666666666667,NA
"8181","2020-071102","us",2020,7,16,7,"RR",1,-0.518282473,0.341,18.5499992370605,27,-70.25,42.1666666666667,NA
"8182","2020-071103","us",2020,7,16,1,"RR",1,-0.518282473,0.341,18.5,28,-70.2833333333333,42.2666666666667,NA
"8183","2020-071104","us",2020,7,16,10,"RR",0,-0.518282473,0.341,18.5,28,-70.2833333333333,42.2666666666667,NA
"8184","2020-071105","us",2020,7,16,10,"RR",0,-0.518282473,0.341,18.5,28,-70.2833333333333,42.2666666666667,NA
"8185","2020-071106","us",2020,7,16,8,"RR",0,-0.518282473,0.341,18.5,28,-70.2833333333333,42.2666666666667,NA
"8186","2020-072701","us",2020,7,18,20,"RR",1,-0.479916364,0.341,19.5,126,-70.4166666666667,42.8333333333333,NA
"8187","2020-073001","us",2020,7,19,8,"RR",0,-0.531816065,0.341,20,126,-70.4166666666667,42.8333333333333,NA
"8188","2020-073002","us",2020,7,19,2,"RR",1,-0.531816065,0.341,19.75,76,-70.0833333333333,42.9166666666667,NA
"8189","2020-073501","us",2020,7,16,10,"RR",0,-0.518282473,0.341,18.7299995422363,126,-70.4166666666667,42.8333333333333,NA
"8190","2020-073502","us",2020,7,16,7,"RR",1,-0.518282473,0.341,18.8199996948242,35,-70.4166666666667,43.1166666666667,NA
"8191","2020-084102","us",2020,7,21,3,"RR",1,-0.220914572,0.341,20.7199993133545,28,-70.2833333333333,42.2666666666667,NA
"8192","2020-084301","us",2020,7,21,2,"RR",0,-0.220914572,0.341,21.0699996948242,65,-70.6,42.3166666666667,NA
"8193","2020-084302","us",2020,7,21,8,"RR",0,-0.220914572,0.341,20.7199993133545,28,-70.2833333333333,42.2666666666667,NA
"8194","2020-088101","us",2020,7,23,7,"RR",0,-0.354051411,0.341,21.2799987792969,107,-70.1666666666667,42.9166666666667,NA
"8195","2020-094804","us",2020,7,25,8,"RR",0,-0.921038985,0.341,21.25,47,-70.1833333333333,42.2666666666667,NA
"8196","2020-094805","us",2020,7,25,12,"RR",1,-0.921038985,0.341,21.5799999237061,28,-70.2833333333333,42.2666666666667,NA
"8197","2020-094806","us",2020,7,25,12,"RR",0,-0.921038985,0.341,21.5799999237061,28,-70.2833333333333,42.2666666666667,NA
"8198","2020-095103","us",2020,7,25,6,"RR",1,-0.921038985,0.341,22.9300003051758,24,-70.3333333333333,41.8333333333333,NA
"8199","2020-095401","us",2020,7,26,3,"RR",0,-0.91730547,0.341,21.8699989318848,28,-70.2833333333333,42.2666666666667,NA
"8200","2020-095601","us",2020,7,26,18,"RR",0,-0.91730547,0.341,21.6000003814697,107,-70.1666666666667,42.9166666666667,NA
"8201","2020-096901","us",2020,7,23,2,"RR",0,-0.354051411,0.341,21.3099994659424,10,-70.1333333333333,42.0833333333333,NA
"8202","2020-096902","us",2020,7,23,3,"RR",0,-0.354051411,0.341,21.8599987030029,28,-70.2833333333333,42.2666666666667,NA
"8203","2020-097101","us",2020,7,28,3,"RR",1,-0.350355536,0.341,22.6999988555908,28,-70.2833333333333,42.2666666666667,NA
"8204","2020-097102","us",2020,7,28,10,"RR",0,-0.350355536,0.341,22.6999988555908,28,-70.2833333333333,42.2666666666667,NA
"8205","2020-097401","us",2020,7,27,3,"RR",0,-0.838167429,0.341,22.2399997711182,28,-70.2833333333333,42.2666666666667,NA
"8206","2020-097801","us",2020,7,24,8,"RR",0,-0.57008934,0.341,21.1099987030029,109,-70.2333333333333,42.8666666666667,NA
"8207","2020-098501","us",2020,7,25,8,"RR",0,-0.921038985,0.341,21.1700000762939,76,-70.0833333333333,42.9166666666667,NA
"8208","2020-098902","us",2020,7,26,12,"RR",0,-0.91730547,0.341,21.6000003814697,107,-70.1666666666667,42.9166666666667,NA
"8209","2020-099002","us",2020,7,25,6,"RR",0,-0.921038985,0.341,21.1700000762939,107,-70.1666666666667,42.9166666666667,NA
"8210","2020-099101","us",2020,7,23,4,"RR",1,-0.354051411,0.341,21.2799987792969,107,-70.1666666666667,42.9166666666667,NA
"8211","2020-099801","us",2020,7,26,3,"RR",0,-0.91730547,0.341,26.2099990844727,25,-73.8333333333333,39.6666666666667,NA
"8212","2020-105601","us",2020,7,29,9,"RR",0,-0.028755695,0.341,22.8699989318848,28,-70.2833333333333,42.2666666666667,NA
"8213","2020-105602","us",2020,7,29,8,"RR",1,-0.028755695,0.341,22.8699989318848,28,-70.2833333333333,42.2666666666667,NA
"8214","2020-105603","us",2020,7,29,10,"RR",0,-0.028755695,0.341,22.8699989318848,28,-70.2833333333333,42.2666666666667,NA
"8215","2020-105604","us",2020,7,29,7,"RR",0,-0.028755695,0.341,22.8699989318848,28,-70.2833333333333,42.2666666666667,NA
"8216","2020-105605","us",2020,7,29,8,"RR",0,-0.028755695,0.341,22.6299991607666,27,-70.25,42.1666666666667,NA
"8217","2020-109001","us",2020,7,30,1,"RR",1,0.323141128,0.341,22.7899990081787,28,-70.2833333333333,42.2666666666667,NA
"8218","2020-111101","us",2020,7,31,5,"RR",0,0.477544665,0.341,22.7199993133545,27,-70.25,42.1666666666667,NA
"8613","2020-23-07-M00301","us",2020,7,3,5,"RR",1,-0.133153155,0.341,17.5100002288818,107,-70.1666666666667,43.3333333333333,NA
"9493","10489_8488_2","can",2002,8,23,36,"RR",5,0.527999997,0.087,20.25,982,-65.4833333333333,42.0333333333333,NA
"9494","10490_8488_3","can",2002,9,25,7,"RR",1,-0.244000003,0.06,16.2199993133545,41,-63.15,44.6,NA
"9495","10491_11652_4","can",2002,8,23,15.96,"RR",2,0.527999997,0.087,20.25,541,-65.4166666666667,42.1333333333333,NA
"9496","10491_11652_5","can",2002,8,22,15.96,"RR",4,0.675999999,0.087,20.0599994659424,189,-65.5002777777778,42.1333333333333,NA
"9497","10492_11652_6","can",2002,9,20,14.5142377260982,"RR",1,-0.675999999,0.06,16.1499996185303,39,-63.2,44.6,NA
"9498","10495_11655_11","can",2002,9,22,6,"RR",1,-0.60799998,0.06,15.9499998092651,3,-63.5,44.5833333333333,NA
"9499","10496_11655_12","can",2002,9,23,6,"RR",1,-0.675999999,0.06,16.0200004577637,42,-63.1833333333333,44.6,NA
"9500","10497_11655_13","can",2002,9,29,5,"RR",1,0.493999988,0.06,14.8099994659424,42,-63.1666666666667,44.6,NA
"9501","11298_13792_18","can",2002,8,30,15,"RR",4,0.954999983,0.087,19.3799991607666,233,-65.5002777777778,42.1166666666667,NA
"9502","11299_13792_19","can",2002,9,7,20,"RR",4,0.003,0.06,19.5100002288818,181,-65.5833333333333,42.1333333333333,NA
"9503","11485_15717_84","can",2002,8,18,15,"RR",1,0.444999993,0.087,20.5399990081787,982,-65.4833333333333,42.0333333333333,NA
"9504","11485_15717_85","can",2002,8,18,15,"RR",1,0.444999993,0.087,20.5399990081787,884,-65.4666666666667,42.0666666666667,NA
"9505","11485_15717_86","can",2002,8,18,15,"RR",2,0.444999993,0.087,20.5399990081787,642,-65.4833333333333,42.0833333333333,NA
"9506","11485_15717_87","can",2002,8,18,15,"RR",1,0.444999993,0.087,20.5399990081787,385,-65.4833333333333,42.1,NA
"9507","13637_18847_1550","can",2002,9,23,0.15,"RR",1,-0.675999999,0.06,12.460000038147,39,-61.45,45.0666666666667,NA
"9508","14024_19308_1621","can",2002,9,10,12,"RR",1,-0.786000013,0.06,19.8999996185303,1166,-65.3833333333333,42.05,NA
"9509","14025_19308_1629","can",2002,9,15,26,"RR",1,-0.805000007,0.06,17.3699989318848,669,-65.55,42.05,NA
"9510","14025_19308_1630","can",2002,9,14,26,"RR",3,-1.220999956,0.06,17.6399993896484,461,-65.5833333333333,42.05,NA
"9511","14025_19308_1631","can",2002,9,14,26,"RR",1,-1.220999956,0.06,17.6399993896484,384,-65.6,42.05,NA
"9512","14026_19308_1632","can",2002,9,18,24,"RR",1,-1.269000053,0.06,17.2799987792969,739,-65.5333333333333,42.05,NA
"9513","14026_19308_1633","can",2002,9,19,24,"RR",0,-0.870000005,0.06,17.3099994659424,669,-65.55,42.05,NA
"9514","14026_19308_1634","can",2002,9,19,24,"RR",1,-0.870000005,0.06,17.3099994659424,827,-65.5333333333333,42.0666666666667,NA
"9515","14026_19308_1635","can",2002,9,19,24,"RR",1,-0.870000005,0.06,17.3099994659424,759,-65.55,42.0666666666667,NA
"9516","14026_19308_1636","can",2002,9,19,24,"RR",0,-0.870000005,0.06,17.3099994659424,656,-65.5666666666667,42.0666666666667,NA
"9517","14028_19308_1637","can",2002,9,26,20,"RR",2,-0.351999998,0.06,18.3099994659424,1083,-65.4833333333333,42.05,NA
"9518","14028_19308_1638","can",2002,9,26,20,"RR",2,-0.351999998,0.06,18.0399990081787,468,-65.6,42.0833333333333,NA
"9519","1566_2304_3285","can",2002,8,16,12,"RR",1,-0.151999995,0.087,19.7399997711182,397,-65.6,42.0166666666667,NA
"9520","1566_2304_3286","can",2002,8,16,12,"RR",1,-0.151999995,0.087,19.7399997711182,957,-65.5002777777778,42.05,NA
"9521","1566_2304_3287","can",2002,8,16,12,"RR",1,-0.151999995,0.087,19.7399997711182,225,-65.6333333333333,42.05,NA
"9522","1566_2304_3288","can",2002,8,16,12,"RR",1,-0.151999995,0.087,19.7399997711182,583,-65.5666666666667,42.0833333333333,NA
"9523","1617_2424_3289","can",2002,9,18,31.98,"RR",0,-1.269000053,0.06,17.2799987792969,119,-65.5166666666667,42.1666666666667,NA
"9524","1617_2424_3290","can",2002,9,19,31.98,"RR",1,-0.870000005,0.06,17.3099994659424,115,-65.5333333333333,42.1833333333333,NA
"9525","1617_2424_3291","can",2002,9,19,31.98,"RR",0,-0.870000005,0.06,17.3099994659424,113,-65.5166666666667,42.2,NA
"9526","1617_2424_3292","can",2002,9,19,31.98,"RR",1,-0.870000005,0.06,17.3099994659424,113,-65.55,42.2,NA
"9527","1617_2424_3293","can",2002,9,19,31.98,"RR",0,-0.870000005,0.06,17.3099994659424,112,-65.55,42.2166666666667,NA
"9528","1617_2424_3294","can",2002,9,20,31.98,"RR",0,-0.675999999,0.06,17.5200004577637,108,-65.5333333333333,42.25,NA
"9529","1618_2424_3295","can",2002,9,29,2.17,"RR",1,0.493999988,0.06,14.8099994659424,32,-63.1333333333333,44.6166666666667,NA
"9530","16492_27473_3307","can",2002,9,10,22,"RR",1,-0.786000013,0.06,16.2899990081787,26,-64.3333333333333,44.1666666666667,NA
"9531","16827_29137_3378","can",2002,9,18,2.33,"RR",1,-1.269000053,0.06,12.8499994277954,77,-66.8166666666667,44.9666666666667,NA
"9532","16828_29137_3379","can",2002,9,23,2.25,"RR",1,-0.675999999,0.06,13.0099992752075,77,-66.8166666666667,44.9666666666667,NA
"9533","16829_29137_3380","can",2002,10,15,6.32,"RR",2,-2.086999893,0.092,11.8999996185303,77,-66.8166666666667,44.9666666666667,NA
"9534","16830_29137_3381","can",2002,10,19,4,"RR",1,-2.799999952,0.092,11.75,74,-66.85,44.9833333333333,NA
"9535","16831_29137_3382","can",2002,10,20,8,"RR",2,-3.048000097,0.092,11.6199998855591,96,-66.8833333333333,44.9333333333333,NA
"9536","17446_100043_4327","can",2002,8,4,4.3,"RR",0,0.160999998,0.087,13.9699993133545,31,-60.85,45.35,NA
"9537","17446_100043_4328","can",2002,8,4,4.3,"RR",1,0.160999998,0.087,13.9699993133545,31,-60.8666666666667,45.35,NA
"9538","17447_100043_4329","can",2002,8,5,15,"RR",1,0.239999995,0.087,14,31,-60.85,45.35,NA
"9539","17448_100043_4334","can",2002,8,7,8.2,"RR",1,-0.432999998,0.087,14.4399995803833,31,-60.85,45.35,NA
"9540","17449_100043_4335","can",2002,8,8,12.2,"RR",1,-0.284000009,0.087,14.5899991989136,31,-60.85,45.35,NA
"9541","17450_100043_4336","can",2002,8,17,3.45,"RR",0,0.248999998,0.087,14.4399995803833,51,-60.8333333333333,45.35,NA
"9542","17450_100043_4337","can",2002,8,17,3.45,"RR",1,0.248999998,0.087,14.4399995803833,31,-60.85,45.35,NA
"9543","17452_100043_4338","can",2002,8,27,6.1,"RR",1,0.648999989,0.087,13.8800001144409,51,-60.8333333333333,45.35,NA
"9544","19405_100499_4883","can",2002,9,22,9,"RR",1,-0.60799998,0.06,12.3299999237061,61,-60.8333333333333,45.2833333333333,NA
"9545","19406_100499_4886","can",2002,9,24,12.5290099437959,"RR",1,-0.463,0.06,12.6799993515015,61,-60.8333333333333,45.2833333333333,NA
"9546","19407_100499_4889","can",2002,9,27,12.5290099437959,"RR",0,-0.030999999,0.06,12.9399995803833,61,-60.8333333333333,45.2833333333333,NA
"9547","19408_100499_4890","can",2002,9,29,2,"RR",0,0.493999988,0.06,12.7199993133545,20,-60.9,45.3166666666667,NA
"9548","20508_100810_5800","can",2002,8,20,39.96,"RR",0,0.632000029,0.087,19.9099998474121,1109,-65.4666666666667,42.05,NA
"9549","20508_100810_5801","can",2002,8,20,39.96,"RR",1,0.632000029,0.087,19.9099998474121,1083,-65.4833333333333,42.05,NA
"9550","20508_100810_5802","can",2002,8,19,39.96,"RR",1,0.671999991,0.087,20.6099987030029,1043,-65.4333333333333,42.0666666666667,NA
"9551","20508_100810_5803","can",2002,8,18,39.96,"RR",0,0.444999993,0.087,20.5399990081787,884,-65.4666666666667,42.0666666666667,NA
"9552","20508_100810_5804","can",2002,8,18,39.96,"RR",1,0.444999993,0.087,20.5399990081787,976,-65.4833333333333,42.0666666666667,NA
"9553","20508_100810_5805","can",2002,8,20,39.96,"RR",1,0.632000029,0.087,19.6299991607666,827,-65.5333333333333,42.0666666666667,NA
"9554","20508_100810_5806","can",2002,8,19,39.96,"RR",1,0.671999991,0.087,20.6099987030029,883,-65.45,42.0833333333333,NA
"9555","20508_100810_5807","can",2002,8,18,39.96,"RR",1,0.444999993,0.087,20.4200000762939,739,-65.5166666666667,42.0833333333333,NA
"9556","20895_100916_5819","can",2002,9,17,12,"RR",1,-1.220000029,0.06,15.5899991989136,41,-63.45,44.5333333333333,NA
"9557","20896_100916_5820","can",2002,9,20,8,"RR",1,-0.675999999,0.06,16.1499996185303,42,-64.6666666666667,43.8666666666667,NA
"9558","20897_100916_5821","can",2002,9,24,6,"RR",3,-0.463,0.06,16.0900001525879,42,-64.6666666666667,43.8666666666667,NA
"9559","20898_100916_5822","can",2002,9,25,18,"RR",2,-0.244000003,0.06,16.1499996185303,67,-64.6666666666667,43.5,NA
"9560","22935_101209_6436","can",2002,8,30,9,"TL",2,0.954999983,0.087,19.25,107,-65.4333333333333,42.3166666666667,NA
"9561","22935_101209_6437","can",2002,8,30,9,"TL",1,0.954999983,0.087,19.25,106,-65.45,42.3166666666667,NA
"9562","22935_101209_6438","can",2002,8,30,9,"TL",5,0.954999983,0.087,19.25,107,-65.4333333333333,42.3333333333333,NA
"9563","22935_101209_6439","can",2002,8,30,9,"TL",1,0.954999983,0.087,19.25,105,-65.45,42.3333333333333,NA
"9564","22936_101209_6440","can",2002,9,19,40,"TL",0,-0.870000005,0.06,17.3099994659424,861,-65.5166666666667,42.0166666666667,NA
"9565","22936_101209_6441","can",2002,9,19,40,"TL",1,-0.870000005,0.06,17.3099994659424,658,-65.5666666666667,42.0166666666667,NA
"9566","22936_101209_6442","can",2002,9,18,40,"TL",2,-1.269000053,0.06,17.2799987792969,668,-65.5333333333333,42.0333333333333,NA
"9567","22936_101209_6443","can",2002,9,19,40,"TL",1,-0.870000005,0.06,17.3099994659424,500,-65.5666666666667,42.0333333333333,NA
"9568","22936_101209_6444","can",2002,9,17,40,"TL",0,-1.220000029,0.06,17.2600002288818,455,-65.5833333333333,42.0333333333333,NA
"9569","22936_101209_6445","can",2002,9,19,40,"TL",3,-0.870000005,0.06,17.3099994659424,739,-65.5333333333333,42.05,NA
"9570","22936_101209_6446","can",2002,9,18,40,"TL",1,-1.269000053,0.06,17.2799987792969,669,-65.55,42.05,NA
"9571","22938_101209_6447","can",2002,9,25,14.5,"TL",0,-0.244000003,0.06,17.9599990844727,545,-65.5833333333333,42.0833333333333,NA
"9572","22959_101215_6457","can",2002,7,31,5,"RR",1,-1.003000021,-0.085,14.0799999237061,31,-60.8666666666667,45.35,NA
"9573","22961_101215_6458","can",2002,8,2,11.5,"RR",2,-0.745999992,0.087,13.3800001144409,17,-60.8666666666667,45.3333333333333,NA
"9574","22963_101215_6459","can",2002,8,8,13.5,"RR",0,-0.284000009,0.087,14.5899991989136,39,-60.85,45.3,NA
"9575","22964_101215_6460","can",2002,8,10,6.60606727471799,"RR",1,-0.054000001,0.087,13.8800001144409,61,-60.75,45.3333333333333,NA
"9576","22965_101215_6461","can",2002,8,12,2.5,"RR",1,-0.460000008,0.087,15.039999961853,17,-60.8666666666667,45.3333333333333,NA
"9577","22966_101215_6462","can",2002,8,16,8,"RR",1,-0.151999995,0.087,14.3899993896484,61,-60.75,45.3333333333333,NA
"9578","22967_101215_6463","can",2002,9,11,12.5290099437959,"RR",1,-0.841000021,0.06,12.5999994277954,61,-60.75,45.3333333333333,NA
"9579","22968_101215_6464","can",2002,9,18,4.5,"RR",1,-1.269000053,0.06,12.8099994659424,43,-60.8333333333333,45.3,NA
"9580","22969_101215_6465","can",2002,9,19,11.45,"RR",1,-0.870000005,0.06,12.4699993133545,54,-60.8166666666667,45.2833333333333,NA
"9581","22970_101215_6466","can",2002,9,21,12.5290099437959,"RR",1,-0.686999977,0.06,12.2299995422363,54,-60.8166666666667,45.2833333333333,NA
"9582","23558_101293_6798","can",2002,8,23,72,"TL",6,0.527999997,0.087,22.689998626709,94,-66.5,41.1666666666667,NA
"9583","23559_101293_6799","can",2002,8,31,120,"RR",2,0.884000003,0.087,20.6299991607666,984,-65.6833333333333,41.75,NA
"9584","23559_101293_6800","can",2002,8,27,120,"RR",3,0.648999989,0.087,19.6800003051758,642,-65.5333333333333,42.0833333333333,NA
"9585","25324_101509_7210","can",2002,7,28,14.9278645343498,"HARP",2,-0.044,-0.085,12.5799999237061,132,-66.6,44.6333333333333,NA
"9586","25325_101509_7211","can",2002,7,30,13.9257966287863,"HARP",7,-0.624000013,-0.085,12.9699993133545,132,-66.6,44.6333333333333,NA
"9587","25326_101509_7214","can",2002,8,20,11.4398365223288,"HARP",3,0.632000029,0.087,14.6700000762939,132,-66.6,44.6333333333333,NA
"9588","25327_101509_7215","can",2002,8,25,26.6196196000343,"HARP",2,0.598999977,0.087,13.6499996185303,52,-66.6333333333333,44.55,NA
"9589","25327_101509_7216","can",2002,8,23,26.6196196000343,"HARP",1,0.527999997,0.087,13.7299995422363,39,-66.6333333333333,44.6,NA
"9590","25328_101509_7223","can",2002,8,28,23.8146596835018,"HARP",2,0.976000011,0.087,13.5299997329712,39,-66.6333333333333,44.6,NA
"9591","25328_101509_7224","can",2002,8,27,23.8146596835018,"HARP",2,0.648999989,0.087,13.5799999237061,145,-66.7833333333333,44.8666666666667,NA
"9592","25675_101576_7552","can",2002,8,20,20,"RR",7,0.632000029,0.087,19.6299991607666,589,-65.55,42.0833333333333,NA
"9593","25676_101576_7553","can",2002,8,22,30,"TL",3,0.675999999,0.087,20.0599994659424,591,-65.5002777777778,42.1,NA
"9594","25676_101576_7554","can",2002,8,23,30,"TL",1,0.527999997,0.087,19.9599990844727,621,-65.5166666666667,42.1,NA
"9595","25676_101576_7555","can",2002,8,22,30,"TL",0,0.675999999,0.087,20.0599994659424,233,-65.5002777777778,42.1166666666667,NA
"9596","25676_101576_7556","can",2002,8,22,30,"TL",0,0.675999999,0.087,20.0599994659424,243,-65.5166666666667,42.1166666666667,NA
"9597","25676_101576_7557","can",2002,8,23,30,"TL",1,0.527999997,0.087,19.9599990844727,243,-65.5166666666667,42.1166666666667,NA
"9598","25677_101576_7566","can",2002,8,29,30,"RR",3,1.128999949,0.087,19.7299995422363,495,-65.6,42.0666666666667,NA
"9599","25677_101576_7567","can",2002,8,30,30,"RR",0,0.954999983,0.087,19.3799991607666,495,-65.6,42.0666666666667,NA
"9600","25677_101576_7568","can",2002,8,30,30,"RR",1,0.954999983,0.087,19.3799991607666,642,-65.5333333333333,42.0833333333333,NA
"9601","25677_101576_7569","can",2002,8,29,30,"RR",1,1.128999949,0.087,19.7299995422363,468,-65.6,42.0833333333333,NA
"9602","25678_101576_7575","can",2002,9,7,16,"RR",0,0.003,0.06,19.5100002288818,739,-65.5166666666667,42.0833333333333,NA
"9603","25678_101576_7576","can",2002,9,7,16,"RR",2,0.003,0.06,19.5100002288818,642,-65.5333333333333,42.0833333333333,NA
"9604","25679_101576_7577","can",2002,9,20,20.5062868763284,"RR",1,-0.675999999,0.06,16.1499996185303,46,-64.6833333333333,43.8833333333333,NA
