"id","year","month","day","lat","lon","catch_n","state","prim_op","lines","fhours","party","bt_live","bt_art","bt_dead","fm_troll","fm_chunk","fm_chum","depth","bathy","field.sst","oisst","primary","secondary","nao","amo"
"2002-385202",2002,10,21,41.8333333333333,-70.3333333333333,0,"MA","Private",2,9,2,"No","No","Yes","No","No","Yes",-180,-24,12.78,13.1399993896484,"giant",NA,-3.253999949,0.092
"2002-380916",2002,10,21,41.2666666666667,-69.2833333333333,1,"MA","Private",4,12,2,"No","No","Yes","No","No","Yes",-320,-75.9,15,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-385204",2002,10,21,41.8333333333333,-70.3333333333333,0,"MA","Private",2,12,2,"Yes","No","Yes","No","No","Yes",-190,-24,13.89,13.1399993896484,"giant",NA,-3.253999949,0.092
"2002-385203",2002,10,21,41.8333333333333,-70.3333333333333,1,"MA","Private",3,8,2,"Yes","No","No","No","No","Yes",-180,-24,12.78,13.1399993896484,"giant",NA,-3.253999949,0.092
"2002-380903",2002,10,21,41.6666666666667,-69.9166666666667,2,"MA","Charter",3,8,2,"No","No","Yes","No","Yes","No",-260,-13.7,13.33,12.960000038147,"giant",NA,-3.253999949,0.092
"2002-380917",2002,10,21,41.2666666666667,-69.2833333333333,1,"MA","Private",3,8,2,"No","No","Yes","No","No","Yes",-330,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380905",2002,10,21,41.2666666666667,-69.2833333333333,0,"MA","Private",2,7,2,"No","No","Yes","No","Yes","No",-430,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380918",2002,10,21,41.2666666666667,-69.2833333333333,1,"MA","Private",2,4,2,"No","No","Yes","No","No","Yes",-300,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380902",2002,10,21,41.6666666666667,-69.9166666666667,2,"MA","Charter",4,8,3,"No","No","Yes","No","No","Yes",-250,-13.7,13.33,12.960000038147,"giant",NA,-3.253999949,0.092
"2002-380913",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Private",2,12,3,"No","No","Yes","No","No","Yes",-310,-75.9,13.89,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380915",2002,10,21,41.2666666666667,-69.2833333333333,1,"MA","Private",3,10,2,"No","No","Yes","No","No","Yes",-300,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-385201",2002,10,21,41.8333333333333,-70.3333333333333,0,"MA","Private",4,10,2,"Yes","No","No","No","No","Yes",-180,-24,13.89,13.1399993896484,"giant",NA,-3.253999949,0.092
"2002-380901",2002,10,21,41.2666666666667,-69.2833333333333,0,"MA","Private",4,12,2,"No","No","Yes","No","No","Yes",-320,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380904",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Charter",3,10,3,"No","No","Yes","No","No","Yes",-260,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380910",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Charter",4,6,2,"No","No","Yes","No","No","Yes",-320,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380906",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Private",2,5,2,"No","No","Yes","No","No","Yes",-325,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380907",2002,10,21,41.2666666666667,-69.2833333333333,0,"MA","Private",5,7,3,"No","No","Yes","No","No","Yes",-360,-75.9,14.44,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380909",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Private",3,8,2,"No","No","Yes","No","No","Yes",-300,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380911",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Private",2,5,2,"Yes","No","No","No","No","Yes",-200,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380912",2002,10,21,41.2666666666667,-69.2833333333333,1,"MA","Charter",3,10,1,"No","No","Yes","No","No","Yes",-300,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-380914",2002,10,21,41.2666666666667,-69.2833333333333,2,"MA","Private",4,6,2,"No","No","Yes","No","No","Yes",-300,-75.9,13.33,12.7599992752075,"giant",NA,-3.253999949,0.092
"2002-385301",2002,10,22,41.8333333333333,-70.3333333333333,1,"MA","Private",2,5,2,"No","No","Yes","No","No","Yes",-180,-24,12.78,13.0999994277954,"giant",NA,-3.022000074,0.092
"2002-386301",2002,10,22,41.2666666666667,-69.2833333333333,2,"MA","Charter",4,11,2,"No","No","Yes","No","No","Yes",-300,-75.9,12.78,12.9299993515015,"giant",NA,-3.022000074,0.092
"2002-385302",2002,10,22,41.8333333333333,-70.3333333333333,0,"MA","Private",3,9,2,"Yes","No","No","No","No","Yes",-180,-24,12.78,13.0999994277954,"giant",NA,-3.022000074,0.092
"2002-385303",2002,10,22,41.8333333333333,-70.3333333333333,0,"MA","Private",4,8,2,"Yes","No","No","No","No","Yes",-180,-24,12.78,13.0999994277954,"giant",NA,-3.022000074,0.092
"2002-386302",2002,10,22,41.2666666666667,-69.2833333333333,1,"MA","Private",3,13,2,"No","No","Yes","No","No","Yes",-320,-75.9,12.78,12.9299993515015,"giant",NA,-3.022000074,0.092
"2002-257804",2002,6,15,37.0833333333333,-74.5833333333333,0,"VA","Private",7,8,6,"No","Yes","No","Yes","No","No",-700,-131.3,20,21.2600002288818,"large med",NA,-0.884000003,-0.136
"2002-259311",2002,6,22,37.4166666666667,-74.5,0,"VA","Private",7,5,4,"No","Yes","Yes","Yes","No","No",-200,-206,21.11,21.1599998474121,"giant",NA,1.144999981,-0.136
"2002-259307",2002,6,22,36.5833333333333,-75.5,0,"VA","Private",7,3,4,"No","Yes","No","Yes","No","No",-120,-23.8,17.22,22.6700000762939,"large med",NA,1.144999981,-0.136
"2002-266513",2002,6,29,38.1,-74.2833333333333,0,"MD","Private",6,7,2,"No","No","Yes","Yes","Yes","No",-160,-48.7,22.22,22.1399993896484,"giant",NA,0.194000006,-0.136
"2002-266514",2002,6,29,38.2,-74.6166666666667,0,"MD","Private",5,8,5,"No","No","Yes","No","Yes","No",-100,-35.9,23.33,22.0599994659424,"giant",NA,0.194000006,-0.136
"2002-266402",2002,6,30,37.25,-75.1666666666667,0,"VA","Private",5,8,3,"No","Yes","Yes","Yes","No","No",-82,-21.7,25.56,23.5399990081787,"giant",NA,0.041000001,-0.136
"2002-272906",2002,7,1,38.0333333333333,-74.3333333333333,0,"VA","Private",4,8,3,"No","Yes","Yes","Yes","No","No",-130,-53.3,23.89,23.4099998474121,"giant",NA,-0.142000005,-0.085
"2002-274601",2002,7,7,36.75,-75.3333333333333,0,"NJ","Charter",7,4,5,"Yes","No","No","Yes","No","No",-132,-23,26.67,24.939998626709,"large med",NA,0.127000004,-0.085
"2002-275909",2002,7,7,37.4166666666667,-74.75,0,"VA","Charter",8,6,4,"No","No","Yes","Yes","No","No",-120,-48.7,NA,24.6299991607666,"large med",NA,0.127000004,-0.085
"2002-275901",2002,7,7,37.25,-75.1666666666667,0,"VA","Charter",8,6,6,"No","Yes","Yes","Yes","No","No",-120,-21.7,21.67,24.6399993896484,"large med",NA,0.127000004,-0.085
"2002-275904",2002,7,7,37.25,-75.1666666666667,0,"VA","Private",5,6,5,"No","Yes","Yes","Yes","No","No",-65,-21.7,NA,24.6399993896484,"giant",NA,0.127000004,-0.085
"2002-278704",2002,7,12,39.6666666666667,-72.5,0,"NY","Private",8,4,3,"No","Yes","No","Yes","No","No",-1000,-91,22.22,22.5699996948242,"large med",NA,0.163000003,-0.085
"2002-278702",2002,7,12,40.8333333333333,-71.5833333333333,0,"NY","Charter",7,8,5,"No","No","Yes","Yes","No","No",-160,-59.3,20.56,20.0799999237061,"giant",NA,0.163000003,-0.085
"2002-23-07-37",2002,7,13,43.5,-69.9166666666667,0,"ME","Private",2,7,2,"No","No","Yes","No","Yes","No",-180,-115.9,14.44,15.3999996185303,"giant",NA,0.535000026,-0.085
"2002-23-07-36",2002,7,13,43.4166666666667,-69.7,0,"ME","Private",3,4,1,"Yes","No","Yes","No","Yes","No",-300,-130.6,15,15.8999996185303,"large med",NA,0.535000026,-0.085
"2002-281005",2002,7,13,38.8166666666667,-73.5833333333333,0,"NJ","Private",7,8,4,"No","Yes","No","Yes","No","No",-250,-54.6,23.33,23.3999996185303,"large med",NA,0.535000026,-0.085
"2002-23-07-39",2002,7,14,43.2166666666667,-69.6666666666667,0,"ME","Private",4,7,3,"Yes","No","Yes","No","Yes","No",-270,-103.5,NA,16.9400005340576,"giant",NA,0.707000017,-0.085
"2002-283102",2002,7,17,41.6666666666667,-69.9166666666667,1,"MA","Private",5,4,1,"No","Yes","No","Yes","No","No",-200,-13.7,17.78,17.9699993133545,"giant",NA,0.671000004,-0.085
"2002-283103",2002,7,17,41.6333333333333,-69.6666666666667,0,"MA","Private",4,10,2,"No","Yes","No","Yes","No","No",-200,-60,18.33,17.8599987030029,"giant",NA,0.671000004,-0.085
"2002-283104",2002,7,17,41.6666666666667,-69.9166666666667,0,"MA","Private",3,12,2,"No","Yes","No","Yes","No","No",-300,-13.7,17.78,17.9699993133545,"giant",NA,0.671000004,-0.085
"2002-23-07-41",2002,7,17,43.1666666666667,-70.0833333333333,1,"ME","Private",3,1,1,"No","No","Yes","No","No","Yes",-240,-154.5,16.67,16.5599994659424,"giant",NA,0.671000004,-0.085
"2002-23-07-40",2002,7,17,43.1666666666667,-70.0833333333333,0,"ME","Private",4,10,2,"No","No","Yes","No","No","Yes",-240,-154.5,NA,16.5599994659424,"giant",NA,0.671000004,-0.085
"2002-23-07-42",2002,7,17,43.6833333333333,-69.85,1,"ME","Private",3,24,2,"No","No","Yes","No","No","Yes",-210,-25.5,17.22,15.0599994659424,"giant",NA,0.671000004,-0.085
"2002-283407",2002,7,17,38.0333333333333,-74.3333333333333,0,"VA","Private",6,4,4,"No","Yes","No","Yes","No","No",-120,-53.3,23.89,24.2799987792969,"large med",NA,0.671000004,-0.085
"2002-283405",2002,7,17,37.6666666666667,-74.4,0,"VA","Charter",7,7,6,"No","Yes","Yes","Yes","No","No",-132,-72.4,23.89,24.4200000762939,"giant",NA,0.671000004,-0.085
"2002-23-07-43",2002,7,18,43.6666666666667,-69.7666666666667,0,"ME","Private",3,6,2,"Yes","No","Yes","No","No","Yes",-228,-36.6,NA,15.3399991989136,"giant",NA,0.522000015,-0.085
"2002-23-07-44",2002,7,18,43.5,-69.7,0,"ME","Private",3,8,1,"No","No","Yes","No","Yes","No",-286,-124.3,15,15.2699995040894,"giant",NA,0.522000015,-0.085
"2002-23-07-45",2002,7,20,43.3333333333333,-70.1666666666667,0,"ME","Private",5,7,3,"No","Yes","No","Yes","No","No",-300,-107.6,17.22,16.7399997711182,"giant",NA,0.829999983,-0.085
"2002-23-07-46",2002,7,20,43.25,-70.2833333333333,0,"ME","Charter",4,11,2,"Yes","No","Yes","No","Yes","No",-240,-88.2,16.67,16.9300003051758,"giant",NA,0.829999983,-0.085
"2002-23-07-49",2002,7,21,43.25,-70.2833333333333,0,"ME","Private",3,8,3,"Yes","No","No","No","Yes","No",-200,-88.2,16.67,16.8400001525879,"giant",NA,0.786000013,-0.085
"2002-23-07-50",2002,7,21,43.4166666666667,-69.7,1,"ME","Private",3,22,2,"No","No","Yes","No","Yes","Yes",-300,-130.6,17.22,16.3199996948242,"giant",NA,0.786000013,-0.085
"2002-23-07-47",2002,7,21,43.1666666666667,-70.2833333333333,0,"ME","Charter",3,6,2,"Yes","No","No","No","Yes","No",-220,-119.3,16.67,17.0299987792969,"giant",NA,0.786000013,-0.085
"2002-23-07-51",2002,7,21,43.4166666666667,-69.7,0,"ME","Private",3,6,6,"No","No","Yes","No","Yes","No",-312,-130.6,NA,16.3199996948242,"giant",NA,0.786000013,-0.085
"2002-289103",2002,7,21,41.0833333333333,-70.8333333333333,0,"RI","Charter",2,18,2,"Yes","No","No","Yes","No","No",-180,-35,20,19.5100002288818,"giant",NA,0.786000013,-0.085
"2002-23-07-15",2002,7,22,43.25,-70.2833333333333,0,"ME","Private",4,7,4,"No","Yes","Yes","Yes","No","No",-275,-88.2,16.11,16.4699993133545,"giant",NA,0.691999972,-0.085
"2002-23-07-17",2002,7,23,43.5,-69.9166666666667,0,"ME","Charter",4,8,4,"Yes","No","Yes","No","Yes","No",-220,-115.9,NA,15.6599998474121,"giant",NA,0.810000002,-0.085
"2002-23-07-18",2002,7,24,43.5,-69.9166666666667,0,"ME","Private",4,6,4,"Yes","No","Yes","No","No","No",-215,-115.9,NA,15.5299997329712,"giant",NA,1.008000016,-0.085
"2002-23-07-19",2002,7,24,43.3333333333333,-70.1666666666667,0,"ME","Charter",4,8,4,"Yes","No","Yes","No","Yes","No",-220,-107.6,NA,15.710000038147,"giant",NA,1.008000016,-0.085
"2002-292801",2002,7,25,41.6666666666667,-69.9166666666667,0,"MA","Charter",5,6,1,"No","Yes","No","Yes","No","No",-180,-13.7,18.33,17.3799991607666,"giant",NA,1.202999949,-0.085
"2002-23-07-20",2002,7,25,43.3333333333333,-70.1666666666667,0,"ME","Charter",4,10,4,"Yes","No","Yes","No","Yes","No",-220,-107.6,NA,16.0799999237061,"giant",NA,1.202999949,-0.085
"2002-23-07-22",2002,7,26,43.3333333333333,-70.1666666666667,0,"ME","Charter",3,13,2,"Yes","No","No","No","Yes","No",-250,-107.6,17.22,16.3599987030029,"giant",NA,0.73299998,-0.085
"2002-23-07-21",2002,7,26,43.1666666666667,-70.0833333333333,0,"ME","Private",3,12,3,"Yes","No","Yes","No","Yes","No",-120,-154.5,16.67,16.4799995422363,"giant",NA,0.73299998,-0.085
"2002-23-07-24",2002,7,26,43.3333333333333,-70.1666666666667,0,"ME","Charter",4,10,4,"Yes","No","Yes","No","Yes","No",-220,-107.6,NA,16.3599987030029,"giant",NA,0.73299998,-0.085
"2002-23-07-25",2002,7,26,43.1666666666667,-70.0833333333333,0,"ME","Private",4,5,4,"Yes","No","Yes","No","No","No",-230,-154.5,16.67,16.4799995422363,"giant",NA,0.73299998,-0.085
"2002-23-07-23",2002,7,26,43.5,-69.9166666666667,0,"ME","Private",4,12,3,"Yes","No","No","No","Yes","No",-200,-115.9,17.22,16.1299991607666,"giant",NA,0.73299998,-0.085
"2002-293702",2002,7,26,42.9166666666667,-70.4166666666667,1,"NH","Private",3,7,3,"No","No","Yes","No","No","Yes",-290,-74.1,18.33,16.2899990081787,"large med",NA,0.73299998,-0.085
"2002-293701",2002,7,26,42.8333333333333,-70.3333333333333,0,"NH","Private",2,7,3,"Yes","No","No","No","Yes","No",-268,-46,16.67,16.2899990081787,"large med",NA,0.73299998,-0.085
"2002-293801",2002,7,27,41.6666666666667,-69.9166666666667,1,"MA","Charter",5,8,2,"No","Yes","No","Yes","No","No",-250,-13.7,16.67,16.5200004577637,"giant",NA,0.228,-0.085
"2002-293802",2002,7,27,41.4666666666667,-69.35,0,"MA","Private",2,10,2,"No","Yes","No","Yes","No","No",-282,-74.9,17.78,16.6099987030029,"giant",NA,0.228,-0.085
"2002-294001",2002,7,27,38.4166666666667,-74.3333333333333,0,"MD","Charter",5,6,6,"No","No","Yes","No","Yes","No",-120,-38.6,25.56,23.8999996185303,"giant",NA,0.228,-0.085
"2002-23-07-27",2002,7,27,43.5,-69.9166666666667,0,"ME","Private",4,12,3,"Yes","No","No","No","Yes","No",-200,-115.9,16.67,16.3299999237061,"giant",NA,0.228,-0.085
"2002-23-07-28",2002,7,27,43.3333333333333,-70.1666666666667,0,"ME","Private",4,11,3,"Yes","No","Yes","No","Yes","No",-120,-107.6,16.11,16.7700004577637,"giant",NA,0.228,-0.085
"2002-23-07-29",2002,7,27,43.3333333333333,-70.1666666666667,0,"ME","Charter",4,10,4,"Yes","No","Yes","No","Yes","No",-220,-107.6,NA,16.7700004577637,"giant",NA,0.228,-0.085
"2002-23-07-26",2002,7,27,43.5,-69.9166666666667,0,"ME","Private",3,7,1,"Yes","No","No","No","Yes","No",-200,-115.9,16.67,16.3299999237061,"giant",NA,0.228,-0.085
"2002-23-07-30",2002,7,27,43.1666666666667,-70.0833333333333,0,"ME","Private",3,4,2,"Yes","No","No","No","Yes","No",-215,-154.5,NA,16.9799995422363,"large med",NA,0.228,-0.085
"2002-296315",2002,7,28,38.1,-74.2833333333333,0,"MD","Private",6,7,3,"No","Yes","Yes","Yes","Yes","No",-130,-48.7,24.44,24.9499988555908,"giant",NA,-0.044,-0.085
"2002-23-07-32",2002,7,29,43.5166666666667,-70.1333333333333,1,"ME","Private",2,4,2,"No","No","Yes","No","No","Yes",-180,-31,NA,17.2700004577637,"giant",NA,-0.141000003,-0.085
"2002-23-07-33",2002,7,30,43.3333333333333,-70.1666666666667,1,"ME","Private",3,6,2,"Yes","No","Yes","No","No","Yes",-220,-107.6,19.44,18.1800003051758,"giant",NA,-0.624000013,-0.085
"2002-23-07-34",2002,7,30,43.5,-69.9166666666667,1,"ME","Private",3,5,1,"Yes","No","Yes","No","Yes","No",-190,-115.9,NA,17.5100002288818,"giant",NA,-0.624000013,-0.085
"2002-298601",2002,7,31,42.9166666666667,-70.0833333333333,1,"NH","Private",4,7,2,"No","No","Yes","No","Yes","Yes",-200,-74,NA,18.7899990081787,"large med",NA,-1.003000021,-0.085
"2002-23-08-108",2002,8,1,43.3333333333333,-70.1666666666667,0,"ME","Private",3,6,3,"Yes","No","Yes","No","Yes","Yes",-220,-107.6,19.44,18.6399993896484,"giant",NA,-0.907000005,0.087
